NON $ % + - . 0 1 2 3 4 5 6 7 8
#NON	a	c	i	j	f	k	m	g	b	h	d	l	n	e
16.107382550335572	0.04730849961637527	0.2106595151943659	0.17661641308034934	0.14433471504775078	0.20928927929533148	0.1811659047539239	0.02628003021046981	0.19621935039871627	0.20204815263254303	0.16162759162356796	0.15744334939512936	0.2144854140600738	0.20576067435940426	0.15055601870891283
16.44295302013423	0.047308499624404636	0.2106595151972061	0.17661641305985024	0.14433471474047566	0.2092892773586988	0.18116590475386074	0.026280030217767213	0.1962193488302795	0.2020481526157284	0.1616275916039556	0.15744334941463914	0.21448541405991386	0.20576067436885295	0.15055601870417687
16.778523489932887	0.047308499623353685	0.2106595151967963	0.1766164130627533	0.14433471453553307	0.20928927602394065	0.18116590475388283	0.026280030216739463	0.19621934775553546	0.20204815261816197	0.16162759160680976	0.15744334941184124	0.21448541405984434	0.20576067436725323	0.15055601870113783
17.114093959731544	0.047308499613413685	0.21065951519315196	0.1766164130881471	0.1443347144017557	0.2092892751060686	0.18116590475389985	0.02628003020764715	0.19621934701960386	0.2020481526390296	0.1616275916312003	0.15744334938752558	0.21448541405979113	0.205760674355138	0.1505560186981193
17.449664429530202	0.047308499596589795	0.2106595151869685	0.1766164131307375	0.14433471431748918	0.20928927448098297	0.1811659047538719	0.026280030192354923	0.19621934651961592	0.20204815267395632	0.16162759167202437	0.15744334934670165	0.21448541405973034	0.20576067433504508	0.15055601869452123
17.78523489932886	0.047308499580403465	0.21065951518099116	0.17661641317160753	0.14433471425604108	0.20928927400703995	0.18116590475383054	0.026280030177667366	0.19621934614123593	0.2020481527074523	0.16162759171117572	0.15744334930747805	0.2144854140596876	0.20576067431581008	0.15055601869122787
18.120805369127517	0.04730849957472978	0.21065951517894776	0.1766164131861171	0.14433471417846758	0.20928927346951354	0.18116590475383537	0.02628003017247609	0.19621934571251337	0.20204815271937898	0.16162759172511865	0.1574433492936461	0.21448541405963134	0.20576067430889602	0.15055601868945617
18.456375838926174	0.047308499571432086	0.21065951517775947	0.17661641319455695	0.1443347141170861	0.20928927304702064	0.18116590475383623	0.026280030169457274	0.19621934537641275	0.20204815272631796	0.16162759173323163	0.1574433492856018	0.21448541405959146	0.205760674304866	0.15055601868820015
18.79194630872483	0.04730849957051039	0.21065951517742632	0.17661641319692714	0.14433471407189663	0.20928927273956124	0.18116590475383307	0.026280030168610927	0.1962193451329341	0.20204815272826926	0.16162759173551472	0.15744334928334522	0.21448541405956792	0.20576067430372	0.15055601868745982
19.12751677852349	0.04730849957196469	0.21065951517794826	0.17661641319322768	0.14433471404289913	0.20928927254713536	0.18116590475382588	0.02628003016993704	0.19621934498207738	0.20204815272523285	0.1616275917319679	0.15744334928687628	0.21448541405956076	0.205760674305458	0.15055601868723514
