NON $ % + - . 0 1
#NON	a	b	f	d	g	e	c
25.252525252525253	0.04482695825229189	0.15421048601469653	0.02800219143564148	0.02314481158860082	0.1942727124315221	0.21480987952422637	0.11337328347931949
25.757575757575758	0.04482695825221699	0.15421048601450005	0.02800219147305344	0.023144811646496163	0.19427271243383848	0.21480987952458758	0.11337328355006789
26.262626262626263	0.044826958252111276	0.15421048601423426	0.028002191514154874	0.023144811710291313	0.19427271243953928	0.21480987952511127	0.1133732836275074
26.767676767676768	0.044826958252095817	0.1542104860141907	0.028002191526085025	0.023144811728689863	0.19427271243937164	0.2148098795251843	0.11337328365016633
27.272727272727273	0.04482695825208036	0.15421048601414714	0.028002191538015177	0.023144811747088413	0.19427271243920397	0.21480987952525732	0.11337328367282525
27.77777777777778	0.0448269582520649	0.1542104860141036	0.028002191549945328	0.023144811765486963	0.1942727124390363	0.21480987952533034	0.11337328369548418
28.282828282828284	0.04482695825204944	0.15421048601406004	0.028002191561875476	0.02314481178388551	0.19427271243886862	0.21480987952540337	0.11337328371814309
28.78787878787879	0.04482695825203397	0.15421048601401646	0.028002191573805627	0.02314481180228406	0.19427271243870095	0.21480987952547642	0.11337328374080202
29.292929292929294	0.04482695825201851	0.15421048601397291	0.02800219158573578	0.02314481182068261	0.19427271243853328	0.21480987952554945	0.11337328376346094
29.7979797979798	0.04482695825201555	0.15421048601396456	0.02800219158808833	0.023144811824310076	0.19427271243850294	0.2148098795255635	0.11337328376793007
30.303030303030305	0.04482695825201521	0.1542104860139636	0.028002191588432226	0.023144811824839684	0.1942727124385014	0.21480987952556516	0.11337328376858435
30.80808080808081	0.04482695825201487	0.15421048601396264	0.02800219158877612	0.02314481182536929	0.19427271243849983	0.21480987952556685	0.11337328376923864
31.313131313131315	0.04482695825201452	0.15421048601396167	0.028002191589120016	0.023144811825898903	0.19427271243849828	0.21480987952556851	0.11337328376989292
31.81818181818182	0.04482695825201418	0.15421048601396073	0.028002191589463907	0.02314481182642851	0.19427271243849673	0.21480987952557018	0.1133732837705472
32.323232323232325	0.044826958252013833	0.15421048601395976	0.028002191589807802	0.02314481182695812	0.19427271243849517	0.21480987952557185	0.1133732837712015
32.82828282828283	0.044826958252013493	0.1542104860139588	0.028002191590151698	0.02314481182748773	0.19427271243849362	0.2148098795255735	0.11337328377185578
33.333333333333336	0.044826958252013153	0.15421048601395784	0.028002191590495593	0.023144811828017336	0.19427271243849206	0.2148098795255752	0.11337328377251006
33.83838383838384	0.04482695825201281	0.15421048601395687	0.028002191590839484	0.023144811828546948	0.1942727124384905	0.21480987952557687	0.11337328377316434
34.343434343434346	0.04482695825201247	0.15421048601395593	0.02800219159118338	0.023144811829076555	0.19427271243848895	0.21480987952557853	0.11337328377381863
34.84848484848485	0.04482695825201212	0.15421048601395496	0.028002191591527274	0.023144811829606166	0.1942727124384874	0.2148098795255802	0.11337328377447292
35.35353535353536	0.04482695825201178	0.15421048601395398	0.02800219159187117	0.023144811830135774	0.19427271243848585	0.21480987952558186	0.1133732837751272
35.85858585858586	0.04482695825201144	0.15421048601395304	0.02800219159221506	0.02314481183066538	0.1942727124384843	0.21480987952558353	0.11337328377578149
36.36363636363637	0.04482695825201109	0.15421048601395207	0.028002191592558956	0.023144811831194993	0.1942727124384827	0.21480987952558522	0.11337328377643577
36.86868686868687	0.04482695825201075	0.15421048601395113	0.02800219159290285	0.0231448118317246	0.19427271243848115	0.2148098795255869	0.11337328377709006
37.37373737373738	0.044826958252010406	0.15421048601395015	0.028002191593246746	0.023144811832254208	0.1942727124384796	0.21480987952558855	0.11337328377774435
37.87878787878788	0.044826958252010066	0.15421048601394918	0.028002191593590638	0.02314481183278382	0.19427271243847805	0.21480987952559022	0.11337328377839863
38.38383838383839	0.044826958252009726	0.15421048601394824	0.028002191593934533	0.023144811833313426	0.1942727124384765	0.21480987952559188	0.11337328377905291
38.88888888888889	0.04482695825200938	0.15421048601394727	0.028002191594278428	0.023144811833843038	0.19427271243847494	0.21480987952559358	0.11337328377970719
39.3939393939394	0.04482695825200904	0.15421048601394632	0.028002191594622323	0.023144811834372645	0.19427271243847338	0.21480987952559524	0.11337328378036149
39.8989898989899	0.04482695825200869	0.15421048601394535	0.028002191594966214	0.023144811834902253	0.19427271243847183	0.2148098795255969	0.11337328378101577
40.40404040404041	0.04482695825200835	0.15421048601394438	0.02800219159531011	0.023144811835431864	0.19427271243847027	0.21480987952559857	0.11337328378167005
40.909090909090914	0.044826958252008005	0.15421048601394344	0.028002191595654004	0.02314481183596147	0.19427271243846872	0.21480987952560024	0.11337328378232434
