,,,Slide ID,a,d,b,c
,,,Antibody Name,a,d,b,c
,,,HUGO ID,a,d,b,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,32.323232323232325,0.12472815126283478,0.20468952668000262,0.12642884720175965,0.2122011918373924
C1,no,Insulin,32.82828282828283,0.12472815125986733,0.20468952668101487,0.12642884719381117,0.21220119183512454
C1,no,Insulin,33.333333333333336,0.12472815125873182,0.2046895266813645,0.12642884719072237,0.2122011918342008
C1,no,Insulin,33.83838383838384,0.12472815125859854,0.20468952668135168,0.12642884719029218,0.21220119183401243
C1,no,Insulin,34.343434343434346,0.12472815125846526,0.20468952668133883,0.126428847189862,0.21220119183382405
C1,no,Insulin,34.84848484848485,0.12472815125833196,0.20468952668132598,0.12642884718943181,0.21220119183363567
C1,no,Insulin,35.35353535353536,0.12472815125819868,0.20468952668131316,0.12642884718900163,0.2122011918334473
C1,no,Insulin,35.85858585858586,0.12472815125806538,0.2046895266813003,0.12642884718857145,0.2122011918332589
C1,no,Insulin,36.36363636363637,0.1247281512579321,0.20468952668128745,0.12642884718814126,0.2122011918330705
C1,no,Insulin,36.86868686868687,0.1247281512577988,0.20468952668127463,0.12642884718771108,0.21220119183288214
C1,no,Insulin,37.37373737373738,0.12472815125766552,0.20468952668126178,0.1264288471872809,0.21220119183269376
C1,no,Insulin,37.87878787878788,0.12472815125753223,0.20468952668124893,0.1264288471868507,0.21220119183250538
C1,no,Insulin,38.38383838383839,0.12472815125739894,0.20468952668123608,0.12642884718642053,0.212201191832317
C1,no,Insulin,38.88888888888889,0.12472815125726566,0.20468952668122326,0.12642884718599035,0.21220119183212863
C1,no,Insulin,39.3939393939394,0.12472815125713237,0.2046895266812104,0.12642884718556016,0.21220119183194022
C1,no,Insulin,39.8989898989899,0.12472815125699908,0.20468952668119755,0.12642884718512998,0.21220119183175185
C1,no,Insulin,40.40404040404041,0.12472815125686579,0.20468952668118473,0.1264288471846998,0.21220119183156347
C1,no,Insulin,40.909090909090914,0.1247281512567325,0.20468952668117188,0.1264288471842696,0.2122011918313751
C1,no,Insulin,41.41414141414142,0.12472815125659921,0.20468952668115903,0.12642884718383945,0.21220119183118671
C1,no,Insulin,41.919191919191924,0.12472815125646593,0.2046895266811462,0.12642884718340927,0.21220119183099834
C1,no,Insulin,42.42424242424243,0.12472815125633263,0.20468952668113335,0.1264288471829791,0.21220119183080993
C1,no,Insulin,42.929292929292934,0.12472815125619935,0.2046895266811205,0.1264288471825489,0.21220119183062155
C1,no,Insulin,43.43434343434344,0.12472815125606607,0.20468952668110765,0.12642884718211872,0.21220119183043318
C1,no,Insulin,43.939393939393945,0.12472815125593277,0.20468952668109483,0.12642884718168854,0.2122011918302448
C1,no,Insulin,44.44444444444445,0.12472815125579949,0.20468952668108198,0.12642884718125835,0.21220119183005642
C1,no,Insulin,44.949494949494955,0.12472815125566619,0.20468952668106913,0.12642884718082817,0.21220119182986805
C1,no,Insulin,45.45454545454546,0.12472815125553291,0.2046895266810563,0.12642884718039799,0.21220119182967967
C1,no,Insulin,45.959595959595966,0.12472815125539961,0.20468952668104345,0.1264288471799678,0.21220119182949126
C1,no,Insulin,46.46464646464647,0.12472815125526633,0.2046895266810306,0.12642884717953762,0.2122011918293029
C1,no,Insulin,46.969696969696976,0.1247281512552106,0.20468952668102502,0.1264288471793575,0.2122011918292238
C1,no,Insulin,47.47474747474748,0.12472815125521,0.2046895266810246,0.12642884717935515,0.21220119182922245
C1,no,Insulin,47.979797979797986,0.12472815125520942,0.2046895266810242,0.1264288471793528,0.21220119182922106
C1,no,Insulin,48.484848484848484,0.12472815125520882,0.20468952668102378,0.12642884717935043,0.2122011918292197
C1,no,Insulin,48.98989898989899,0.12472815125520822,0.20468952668102336,0.1264288471793481,0.21220119182921834
C1,no,Insulin,49.494949494949495,0.12472815125520764,0.20468952668102297,0.12642884717934574,0.21220119182921698
C1,no,Insulin,50.0,0.12472815125520705,0.20468952668102255,0.12642884717934338,0.21220119182921562
