NON $ % + - . 0 1 2 3
#NON	e	h	g	f	d	c	i	b	a
23.232323232323235	0.03208111987374959	0.04864993218353462	0.001622629882534487	0.012892683309035537	0.0007062188336238848	0.00051489732083628	0.01205101129766196	0.0004400805165526946	0.007570891468698455
23.73737373737374	0.03207861708703923	0.04864712445561866	0.001622418182932245	0.012891379609407165	0.0007061341911093207	0.0005148185046841208	0.0120499294620894	0.0004400128802800979	0.007570325260598774
24.242424242424242	0.03207660825891344	0.04864487066818766	0.0016222482970460563	0.012890333518071048	0.0007060662695056993	0.0005147552558076305	0.012049061493537098	0.00043995859999409245	0.0075698708932838915
24.747474747474747	0.032074997295976085	0.04864306340142549	0.001622112060683825	0.012889494577266649	0.000706011800569085	0.0005147045344274851	0.01204836536120989	0.0004399150726994786	0.007569506514519442
25.252525252525253	0.03207370461030984	0.04864161330978591	0.0016220027322088712	0.01288882126056516	0.0007059680885938158	0.0005146638314128894	0.01204780660354313	0.00043988014489793574	0.007569214079403507
25.757575757575758	0.03207266710025222	0.04864044942549541	0.0016219149856817265	0.012888280836753608	0.0007059330046441458	0.000514631164495855	0.01204735811847489	0.00043985211266153555	0.007568979355121783
26.262626262626263	0.032071834496500785	0.0486395153520041	0.0016218445685626736	0.012887847117288095	0.0007059048485758919	0.0005146049505826757	0.01204699817475135	0.00043982961741755093	0.007568790968398869
26.767676767676768	0.032071164835388674	0.048638763975122394	0.0016217879408158453	0.012887498362907373	0.0007058822065322092	0.0005145838706826355	0.012046708775576185	0.0004398115262679014	0.007568639475649369
27.272727272727273	0.03207062701495545	0.04863816048571579	0.0016217424666545314	0.012887218310542832	0.0007058640243336803	0.0005145669432225584	0.01204647639838634	0.00043979699813790317	0.007568517821431022
27.77777777777778	0.0320701946391464	0.04863767536751963	0.0016217059107183063	0.01288699319101897	0.0007058494087148265	0.0005145533346660774	0.012046289605365999	0.0004397853190064468	0.007568420035721062
28.282828282828284	0.03206984749916197	0.048637285929357954	0.0016216765601925925	0.012886812435019485	0.0007058376739123737	0.0005145424080807256	0.012046139613400803	0.0004397759421988692	0.007568341524606065
28.78787878787879	0.032069569063290004	0.04863697362502186	0.0016216530154881503	0.012886667419099015	0.0007058282601799498	0.0005145336424356778	0.012046019263124996	0.00043976842067442113	0.007568278542318935
