NON $ % + - . 0
#NON	b	e	d	a	c	f
35.35353535353536	0.07651993376238374	0.08397597233931822	0.13077225547865406	0.07073479692979887	0.02013032332301931	0.14019341801138085
35.85858585858586	0.07651993378343365	0.08397597235888671	0.13077225549524443	0.07073479694943116	0.020130323331298817	0.14019341802649457
36.36363636363637	0.07651993380448355	0.0839759723784552	0.1307722555118348	0.07073479696906344	0.020130323339578326	0.1401934180416083
36.86868686868687	0.07651993382553345	0.08397597239802368	0.1307722555284252	0.07073479698869574	0.020130323347857835	0.140193418056722
37.37373737373738	0.07651993384658336	0.08397597241759217	0.13077225554501556	0.07073479700832802	0.02013032335613734	0.14019341807183572
37.87878787878788	0.0765199338603329	0.08397597243037375	0.13077225555585298	0.07073479702115144	0.020130323361545556	0.14019341808170874
38.38383838383839	0.0765199338613511	0.08397597243131943	0.13077225555665764	0.07073479702210068	0.020130323361946433	0.14019341808244232
38.88888888888889	0.07651993386236929	0.08397597243226512	0.13077225555746233	0.07073479702304993	0.020130323362347314	0.1401934180831759
39.3939393939394	0.07651993386338748	0.08397597243321081	0.130772255558267	0.07073479702399915	0.02013032336274819	0.14019341808390948
39.8989898989899	0.07651993386440567	0.0839759724341565	0.13077225555907165	0.07073479702494839	0.020130323363149072	0.14019341808464306
40.40404040404041	0.07651993386542387	0.08397597243510219	0.13077225555987632	0.07073479702589762	0.02013032336354995	0.14019341808537664
40.909090909090914	0.07651993386644207	0.08397597243604786	0.13077225556068098	0.07073479702684686	0.020130323363950826	0.14019341808611022
41.41414141414142	0.07651993386746025	0.08397597243699355	0.13077225556148564	0.07073479702779609	0.020130323364351707	0.1401934180868438
41.919191919191924	0.07651993386847845	0.08397597243793924	0.1307722555622903	0.07073479702874533	0.020130323364752584	0.14019341808757738
42.42424242424243	0.07651993386949664	0.08397597243888492	0.13077225556309496	0.07073479702969457	0.020130323365153465	0.14019341808831096
42.929292929292934	0.07651993387051484	0.08397597243983061	0.13077225556389963	0.0707347970306438	0.020130323365554342	0.14019341808904454
43.43434343434344	0.07651993387153302	0.0839759724407763	0.1307722555647043	0.07073479703159304	0.020130323365955223	0.14019341808977814
43.939393939393945	0.07651993387255122	0.08397597244172199	0.13077225556550895	0.07073479703254226	0.0201303233663561	0.14019341809051172
44.44444444444445	0.07651993387356942	0.08397597244266766	0.1307722555663136	0.0707347970334915	0.020130323366756978	0.1401934180912453
44.949494949494955	0.07651993387458761	0.08397597244361335	0.13077225556711827	0.07073479703444074	0.020130323367157858	0.14019341809197888
45.45454545454546	0.07651993387560581	0.08397597244455904	0.13077225556792293	0.07073479703538997	0.020130323367558735	0.14019341809271246
45.959595959595966	0.076519933876624	0.08397597244550473	0.1307722555687276	0.07073479703633921	0.020130323367959616	0.14019341809344604
46.46464646464647	0.0765199338776422	0.08397597244645041	0.13077225556953226	0.07073479703728844	0.020130323368360493	0.14019341809417962
46.969696969696976	0.07651993387866038	0.0839759724473961	0.13077225557033692	0.07073479703823768	0.020130323368761374	0.1401934180949132
47.47474747474748	0.07651993387967858	0.08397597244834179	0.13077225557114158	0.07073479703918692	0.02013032336916225	0.14019341809564678
47.979797979797986	0.07651993388069678	0.08397597244928746	0.13077225557194624	0.07073479704013615	0.02013032336956313	0.14019341809638036
48.484848484848484	0.07651993388171496	0.08397597245023315	0.1307722555727509	0.07073479704108539	0.02013032336996401	0.14019341809711394
48.98989898989899	0.07651993388273316	0.08397597245117884	0.13077225557355557	0.07073479704203461	0.020130323370364887	0.14019341809784752
49.494949494949495	0.07651993388375135	0.08397597245212453	0.13077225557436023	0.07073479704298385	0.020130323370765767	0.1401934180985811
50.0	0.07651993388476955	0.08397597245307022	0.1307722555751649	0.07073479704393308	0.020130323371166645	0.14019341809931468
