,,,Slide ID,c,f,a,e,b,d
,,,Antibody Name,c,f,a,e,b,d
,,,HUGO ID,c,f,a,e,b,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,44.949494949494955,0.21098967918788442,0.22252623595200816,0.1719623770590463,0.19189758037871182,0.2042762678615923,0.19018798322956387
C1,no,Insulin,45.45454545454546,0.2109896791878887,0.22252623595201812,0.17196237706014225,0.19189758037844837,0.20427626786270683,0.19018798322956823
C1,no,Insulin,45.959595959595966,0.21098967918789294,0.22252623595202808,0.1719623770612382,0.1918975803781849,0.20427626786382136,0.19018798322957262
C1,no,Insulin,46.46464646464647,0.2109896791878972,0.22252623595203802,0.17196237706233417,0.19189758037792146,0.20427626786493588,0.19018798322957697
C1,no,Insulin,46.969696969696976,0.21098967918790149,0.22252623595204798,0.1719623770634301,0.191897580377658,0.2042762678660504,0.19018798322958136
C1,no,Insulin,47.47474747474748,0.21098967918790573,0.22252623595205795,0.17196237706452605,0.19189758037739454,0.20427626786716496,0.19018798322958572
C1,no,Insulin,47.979797979797986,0.21098967918791,0.2225262359520679,0.171962377065622,0.1918975803771311,0.2042762678682795,0.1901879832295901
C1,no,Insulin,48.484848484848484,0.21098967918791428,0.22252623595207785,0.17196237706671794,0.19189758037686763,0.204276267869394,0.19018798322959446
C1,no,Insulin,48.98989898989899,0.21098967918791856,0.22252623595208781,0.1719623770678139,0.19189758037660418,0.20427626787050854,0.19018798322959882
C1,no,Insulin,49.494949494949495,0.2109896791879228,0.22252623595209778,0.17196237706890985,0.19189758037634075,0.20427626787162306,0.1901879832296032
C1,no,Insulin,50.0,0.21098967918792708,0.22252623595210771,0.1719623770700058,0.1918975803760773,0.2042762678727376,0.19018798322960756
