NON $ % + -
#NON	b	c	a	d
38.88888888888889	0.00469069577202594	0.2544669583634456	0.22014691525154556	0.028943348236411003
39.3939393939394	0.004690695772238186	0.254466958363417	0.2201469152515223	0.028943348236429516
39.8989898989899	0.0046906957724504325	0.2544669583633884	0.22014691525149904	0.02894334823644803
40.40404040404041	0.004690695772662679	0.2544669583633598	0.22014691525147578	0.02894334823646654
40.909090909090914	0.0046906957728749255	0.2544669583633312	0.22014691525145252	0.028943348236485054
41.41414141414142	0.004690695773087172	0.25446695836330263	0.2201469152514293	0.028943348236503567
41.919191919191924	0.004690695773299419	0.25446695836327404	0.22014691525140603	0.028943348236522084
42.42424242424243	0.004690695773511666	0.25446695836324545	0.22014691525138277	0.028943348236540597
42.929292929292934	0.004690695773723912	0.25446695836321687	0.22014691525135952	0.02894334823655911
43.43434343434344	0.004690695773936159	0.2544669583631882	0.22014691525133628	0.028943348236577623
43.939393939393945	0.004690695774148406	0.25446695836315963	0.22014691525131302	0.028943348236596136
44.44444444444445	0.004690695774360652	0.25446695836313105	0.22014691525128977	0.028943348236614652
44.949494949494955	0.004690695774572899	0.25446695836310246	0.2201469152512665	0.028943348236633165
45.45454545454546	0.004690695774785146	0.25446695836307387	0.22014691525124327	0.028943348236651678
45.959595959595966	0.004690695774997392	0.2544669583630453	0.22014691525122002	0.02894334823667019
46.46464646464647	0.004690695775209639	0.2544669583630167	0.22014691525119676	0.028943348236688704
46.969696969696976	0.0046906957754218855	0.2544669583629881	0.2201469152511735	0.028943348236707217
47.47474747474748	0.004690695775634132	0.25446695836295946	0.22014691525115027	0.028943348236725733
47.979797979797986	0.004690695775846378	0.2544669583629309	0.220146915251127	0.028943348236744246
48.484848484848484	0.004690695776058625	0.2544669583629023	0.22014691525110375	0.02894334823676276
48.98989898989899	0.004690695776270872	0.2544669583628737	0.2201469152510805	0.028943348236781272
49.494949494949495	0.004690695776483118	0.2544669583628451	0.22014691525105723	0.028943348236799785
50.0	0.004690695776695365	0.2544669583628165	0.220146915251034	0.0289433482368183
