,,,Slide ID,e,g,d,b,f,a,c
,,,Antibody Name,e,g,d,b,f,a,c
,,,HUGO ID,e,g,d,b,f,a,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,37.87878787878788,0.02800907569325973,0.1052145489890705,0.0723871751818593,0.1702934321283463,0.12449294134885726,0.12842456135002148,0.043600499143795275
C1,no,Insulin,38.38383838383839,0.028009075693274665,0.10521454898911518,0.07238717518196694,0.17029343212839132,0.12449294134893142,0.1284245613500799,0.043600499143828624
C1,no,Insulin,38.88888888888889,0.0280090756932896,0.10521454898915988,0.07238717518207459,0.17029343212843634,0.1244929413490056,0.12842456135013833,0.04360049914386197
C1,no,Insulin,39.3939393939394,0.028009075693304537,0.10521454898920458,0.07238717518218223,0.17029343212848136,0.12449294134907977,0.12842456135019675,0.04360049914389532
C1,no,Insulin,39.8989898989899,0.028009075693319473,0.10521454898924927,0.07238717518228988,0.17029343212852638,0.12449294134915394,0.12842456135025518,0.04360049914392867
C1,no,Insulin,40.40404040404041,0.02800907569333441,0.10521454898929397,0.07238717518239751,0.1702934321285714,0.12449294134922811,0.12842456135031363,0.043600499143962024
C1,no,Insulin,40.909090909090914,0.028009075693349345,0.10521454898933867,0.07238717518250516,0.17029343212861642,0.12449294134930229,0.12842456135037206,0.04360049914399537
C1,no,Insulin,41.41414141414142,0.02800907569336428,0.10521454898938336,0.0723871751826128,0.17029343212866144,0.12449294134937647,0.12842456135043048,0.04360049914402872
C1,no,Insulin,41.919191919191924,0.02800907569337922,0.10521454898942806,0.07238717518272045,0.17029343212870646,0.12449294134945063,0.1284245613504889,0.04360049914406207
C1,no,Insulin,42.42424242424243,0.028009075693394156,0.10521454898947276,0.07238717518282808,0.17029343212875148,0.12449294134952481,0.12842456135054733,0.04360049914409542
C1,no,Insulin,42.929292929292934,0.028009075693409092,0.10521454898951746,0.07238717518293573,0.1702934321287965,0.12449294134959898,0.12842456135060576,0.043600499144128765
C1,no,Insulin,43.43434343434344,0.028009075693424028,0.10521454898956215,0.07238717518304337,0.17029343212884152,0.12449294134967316,0.12842456135066418,0.043600499144162114
C1,no,Insulin,43.939393939393945,0.028009075693438964,0.10521454898960685,0.07238717518315102,0.17029343212888653,0.12449294134974732,0.1284245613507226,0.04360049914419546
C1,no,Insulin,44.44444444444445,0.0280090756934539,0.10521454898965155,0.07238717518325867,0.17029343212893155,0.1244929413498215,0.12842456135078104,0.04360049914422882
C1,no,Insulin,44.949494949494955,0.028009075693468836,0.10521454898969623,0.0723871751833663,0.17029343212897657,0.12449294134989568,0.12842456135083946,0.043600499144262166
C1,no,Insulin,45.45454545454546,0.028009075693483772,0.10521454898974093,0.07238717518347396,0.17029343212902157,0.12449294134996984,0.1284245613508979,0.043600499144295514
C1,no,Insulin,45.959595959595966,0.028009075693498708,0.10521454898978563,0.07238717518358159,0.17029343212906659,0.12449294135004402,0.1284245613509563,0.04360049914432886
C1,no,Insulin,46.46464646464647,0.028009075693513644,0.10521454898983032,0.07238717518368924,0.1702934321291116,0.1244929413501182,0.12842456135101474,0.04360049914436221
C1,no,Insulin,46.969696969696976,0.02800907569352858,0.10521454898987502,0.07238717518379688,0.17029343212915662,0.12449294135019237,0.12842456135107316,0.04360049914439556
C1,no,Insulin,47.47474747474748,0.028009075693543516,0.10521454898991972,0.07238717518390453,0.17029343212920164,0.12449294135026653,0.1284245613511316,0.04360049914442891
C1,no,Insulin,47.979797979797986,0.02800907569355845,0.10521454898996441,0.07238717518401216,0.17029343212924666,0.12449294135034071,0.12842456135119004,0.04360049914446226
C1,no,Insulin,48.484848484848484,0.02800907569357339,0.10521454899000911,0.07238717518411981,0.17029343212929168,0.12449294135041489,0.12842456135124847,0.04360049914449561
C1,no,Insulin,48.98989898989899,0.028009075693588327,0.10521454899005381,0.07238717518422745,0.1702934321293367,0.12449294135048906,0.1284245613513069,0.04360049914452896
C1,no,Insulin,49.494949494949495,0.028009075693603263,0.1052145489900985,0.0723871751843351,0.17029343212938172,0.12449294135056323,0.12842456135136532,0.04360049914456231
C1,no,Insulin,50.0,0.0280090756936182,0.1052145489901432,0.07238717518444274,0.17029343212942674,0.1244929413506374,0.12842456135142374,0.043600499144595656
