NON $ % + - . 0 1 2 3 4
#NON	CycA	E2F	CycE	UbcH10	cdh1	p27	Cdc20	CycD	Rb	CycB
12.406015037593985	0.1008338535830661	0.4358985196440172	0.14571197352449333	0.08324171987579952	0.6672468990315333	0.048750830075783624	0.25328774414628397	0.11840710594988771	0.7105062595702986	0.3961007205507611
12.531328320802004	0.10083373481971551	0.4358985780170308	0.14571199754693837	0.0832359782266398	0.6672469598929669	0.04875083146916622	0.2532877337829072	0.11840709536383327	0.7105062539197766	0.39610069216489413
12.656641604010025	0.10083363065136011	0.4358986292473171	0.1457120187042725	0.08323069755842531	0.6672470129818385	0.0487508326199684	0.25328772488465473	0.11840708625938066	0.7105062487707544	0.39610066727410614
12.781954887218044	0.10083353927602014	0.43589867422479617	0.1457120373365046	0.08322584082066209	0.6672470592119276	0.048750833568201195	0.2532877173092281	0.11840707842803502	0.7105062441140048	0.3961006454530913
12.907268170426065	0.10083345910207642	0.4358987137252556	0.14571205372691995	0.0832213737218973	0.6672470999385464	0.04875083434250125	0.2532877105411872	0.1184070716885079	0.7105062398040243	0.39610062628794734
13.032581453634084	0.10083338878446312	0.43589874839365206	0.14571206814193602	0.08321726543478877	0.6672471358203185	0.04875083497135086	0.25328770448376975	0.11840706589197236	0.7105062358274873	0.3961006094601948
13.157894736842104	0.10083332708259482	0.43589877882821104	0.14571208082888668	0.08321348669504648	0.6672471674039607	0.048750835480828696	0.25328769909100946	0.11840706090289503	0.7105062321824467	0.3961005946803162
13.283208020050125	0.10083327296389856	0.435898805542225	0.1457120919910322	0.08321001147137887	0.6672471950627407	0.048750835891396435	0.253287694385691	0.11840705661179605	0.7105062288770586	0.3961005817139614
13.408521303258144	0.10083322549084238	0.4358988289958095	0.14571210181167177	0.08320681533846404	0.66724721925452	0.04875083622035976	0.25328769030361553	0.11840705292030769	0.7105062258915129	0.39610057033983315
13.533834586466165	0.10083318383897291	0.43589884959127717	0.1457121104512399	0.08320387574019834	0.6672472404522986	0.04875083648172882	0.25328768673832824	0.11840704974360378	0.7105062231905742	0.3961005603583156
13.659147869674184	0.10083314731139519	0.43589886766666897	0.14571211804804401	0.08320117241851425	0.6672472590430429	0.04875083668696453	0.25328768360792464	0.11840704701174075	0.7105062207471782	0.3961005516011334
