,,,Slide ID,c,b,d,f,a,e
,,,Antibody Name,c,b,d,f,a,e
,,,HUGO ID,c,b,d,f,a,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,26.845637583892618,0.2239897968172132,0.17156461162409048,0.14505794217302512,0.24368938299464107,0.016955939623062986,0.14978042124048907
C1,no,Insulin,27.181208053691275,0.22398979682681514,0.17156461162802394,0.14505794217926402,0.2436893830065185,0.016955939642377994,0.1497804212492966
C1,no,Insulin,27.516778523489933,0.22398979683641707,0.1715646116319574,0.1450579421855029,0.2436893830183959,0.016955939661693006,0.14978042125810417
C1,no,Insulin,27.85234899328859,0.22398979684601902,0.17156461163589087,0.1450579421917418,0.24368938303027332,0.016955939681008014,0.1497804212669117
C1,no,Insulin,28.18791946308725,0.2239897968541406,0.17156461163921718,0.14505794219701887,0.2436893830403196,0.016955939697351558,0.14978042127436142
C1,no,Insulin,28.52348993288591,0.2239897968544208,0.17156461163932707,0.145057942197201,0.24368938304066617,0.016955939697955072,0.14978042127461844
C1,no,Insulin,28.859060402684566,0.223989796854701,0.17156461163943693,0.14505794219738313,0.24368938304101279,0.01695593969855859,0.14978042127487548
C1,no,Insulin,29.194630872483224,0.2239897968549812,0.1715646116395468,0.14505794219756524,0.24368938304135937,0.016955939699162106,0.14978042127513252
C1,no,Insulin,29.53020134228188,0.22398979685526138,0.1715646116396567,0.14505794219774737,0.24368938304170595,0.01695593969976562,0.14978042127538957
C1,no,Insulin,29.86577181208054,0.2239897968555416,0.17156461163976658,0.1450579421979295,0.24368938304205254,0.016955939700369137,0.14978042127564659
C1,no,Insulin,30.201342281879196,0.2239897968558218,0.17156461163987646,0.1450579421981116,0.24368938304239912,0.016955939700972655,0.14978042127590363
C1,no,Insulin,30.536912751677853,0.22398979685610199,0.17156461163998635,0.14505794219829374,0.24368938304274573,0.016955939701576172,0.14978042127616067
C1,no,Insulin,30.87248322147651,0.22398979685638218,0.17156461164009623,0.14505794219847587,0.24368938304309232,0.016955939702179686,0.14978042127641772
C1,no,Insulin,31.20805369127517,0.22398979685666237,0.17156461164020612,0.145057942198658,0.2436893830434389,0.016955939702783203,0.14978042127667474
C1,no,Insulin,31.543624161073826,0.22398979685694256,0.171564611640316,0.1450579421988401,0.24368938304378548,0.01695593970338672,0.14978042127693178
C1,no,Insulin,31.879194630872483,0.22398979685722278,0.17156461164042588,0.14505794219902224,0.2436893830441321,0.016955939703990234,0.14978042127718882
C1,no,Insulin,32.214765100671144,0.22398979685750298,0.17156461164053577,0.14505794219920437,0.24368938304447868,0.01695593970459375,0.14978042127744587
C1,no,Insulin,32.5503355704698,0.22398979685778317,0.17156461164064565,0.1450579421993865,0.24368938304482526,0.01695593970519727,0.1497804212777029
C1,no,Insulin,32.88590604026846,0.22398979685806336,0.17156461164075554,0.1450579421995686,0.24368938304517185,0.016955939705800786,0.14978042127795993
C1,no,Insulin,33.22147651006711,0.22398979685834355,0.17156461164086542,0.14505794219975074,0.24368938304551843,0.0169559397064043,0.14978042127821697
C1,no,Insulin,33.557046979865774,0.22398979685862375,0.1715646116409753,0.14505794219993287,0.24368938304586504,0.016955939707007817,0.14978042127847402
C1,no,Insulin,33.89261744966443,0.22398979685890397,0.17156461164108516,0.145057942200115,0.24368938304621163,0.016955939707611334,0.14978042127873106
C1,no,Insulin,34.22818791946309,0.22398979685918416,0.17156461164119505,0.1450579422002971,0.2436893830465582,0.016955939708214848,0.14978042127898808
C1,no,Insulin,34.56375838926175,0.22398979685946435,0.17156461164130493,0.14505794220047924,0.2436893830469048,0.016955939708818365,0.14978042127924512
C1,no,Insulin,34.899328859060404,0.22398979685974454,0.17156461164141482,0.14505794220066137,0.2436893830472514,0.016955939709421882,0.14978042127950217
C1,no,Insulin,35.234899328859065,0.22398979686002474,0.1715646116415247,0.14505794220084348,0.243689383047598,0.0169559397100254,0.1497804212797592
C1,no,Insulin,35.57046979865772,0.22398979686030496,0.17156461164163458,0.1450579422010256,0.24368938304794457,0.016955939710628913,0.14978042128001623
C1,no,Insulin,35.90604026845638,0.22398979686058515,0.17156461164174447,0.14505794220120774,0.24368938304829116,0.01695593971123243,0.14978042128027327
C1,no,Insulin,36.241610738255034,0.22398979686086534,0.17156461164185435,0.14505794220138987,0.24368938304863774,0.016955939711835948,0.14978042128053032
C1,no,Insulin,36.577181208053695,0.22398979686114553,0.17156461164196424,0.14505794220157198,0.24368938304898435,0.016955939712439465,0.14978042128078736
C1,no,Insulin,36.91275167785235,0.22398979686142573,0.17156461164207412,0.1450579422017541,0.24368938304933094,0.01695593971304298,0.1497804212810444
