,,,Slide ID,e,a,c,d,b
,,,Antibody Name,e,a,c,d,b
,,,HUGO ID,e,a,c,d,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,25.838926174496645,0.052888564735672904,0.08848820167463368,0.010107510964083683,0.013117454874417442,0.04963828461593949
C1,no,Insulin,26.174496644295303,0.05288856423245079,0.08848820051295779,0.010107510750348138,0.013117454627937872,0.04963828379160165
C1,no,Insulin,26.51006711409396,0.05288856365743228,0.0884881995360171,0.010107510609529066,0.013117454454385644,0.04963828313937481
C1,no,Insulin,26.845637583892618,0.05288856325509547,0.08848819876453418,0.010107510485122559,0.01311745430583354,0.04963828261065986
C1,no,Insulin,27.181208053691275,0.05288856292678166,0.08848819819093483,0.010107510400920627,0.013117454202580215,0.04963828222860309
C1,no,Insulin,27.516778523489933,0.052888562574223315,0.08848819767502814,0.010107510340026417,0.013117454122577041,0.04963828190124952
C1,no,Insulin,27.85234899328859,0.052888562033254906,0.08848819700483138,0.010107510280904992,0.013117454035963065,0.049638281493864844
C1,no,Insulin,28.18791946308725,0.05288856161118614,0.08848819648200516,0.010107510235205196,0.013117453968771555,0.04963828117778479
C1,no,Insulin,28.52348993288591,0.052888561386925236,0.08848819615938072,0.010107510198500319,0.013117453919958387,0.04963828097607252
C1,no,Insulin,28.859060402684566,0.05288856143938042,0.08848819608978925,0.010107510166363652,0.013117453888479428,0.04963828091179118
C1,no,Insulin,29.194630872483224,0.052888561683492104,0.08848819620249423,0.010107510139357083,0.013117453871085134,0.049638280948068096
C1,no,Insulin,29.53020134228188,0.052888561601182014,0.08848819610043199,0.010107510131216755,0.01311745385870171,0.049638280889747505
C1,no,Insulin,29.86577181208054,0.05288856157960788,0.0884881960687336,0.010107510128137707,0.013117453854431086,0.049638280872568274
C1,no,Insulin,30.201342281879196,0.052888561627263735,0.08848819610716542,0.010107510127835527,0.013117453856282038,0.04963828089385475
C1,no,Insulin,30.536912751677853,0.05288856175264356,0.08848819621549385,0.010107510128025804,0.013117453862263343,0.04963828095093129
C1,no,Insulin,30.87248322147651,0.05288856195547489,0.08848819638793376,0.010107510127045777,0.013117453870627028,0.0496382810389696
C1,no,Insulin,31.20805369127517,0.052888562053590785,0.08848819650351351,0.010107510136131155,0.013117453884672179,0.04963828110847648
C1,no,Insulin,31.543624161073826,0.0528885621470199,0.08848819661996474,0.010107510146506637,0.01311745389986774,0.04963828117925298
C1,no,Insulin,31.879194630872483,0.052888562226972434,0.08848819672610865,0.010107510157113439,0.013117453914702069,0.04963828124437935
C1,no,Insulin,32.214765100671144,0.05288856228465856,0.08848819681076646,0.010107510166892777,0.01311745392766352,0.04963828129693582
C1,no,Insulin,32.5503355704698,0.05288856231128846,0.08848819686275938,0.010107510174785872,0.01311745393724045,0.04963828133000265
C1,no,Insulin,32.88590604026846,0.05288856232061698,0.08848819687742661,0.01010751017664362,0.013117453939617345,0.04963828133922143
C1,no,Insulin,33.22147651006711,0.05288856238183313,0.08848819697782183,0.010107510189988423,0.013117453956474885,0.04963828140309495
C1,no,Insulin,33.557046979865774,0.05288856241906667,0.08848819704467484,0.010107510199711485,0.013117453968409687,0.049638281446279145
C1,no,Insulin,33.89261744966443,0.05288856243231759,0.08848819707798565,0.010107510205812808,0.013117453975421751,0.049638281468774005
C1,no,Insulin,34.22818791946309,0.052888562421585905,0.08848819707775427,0.010107510208292392,0.013117453977511078,0.04963828147057954
C1,no,Insulin,34.56375838926175,0.05288856247323713,0.08848819716147449,0.010107510219294931,0.013117453991462453,0.049638281523809065
C1,no,Insulin,34.899328859060404,0.0528885625531459,0.08848819728272134,0.010107510234021727,0.01311745401064375,0.04963828159996865
C1,no,Insulin,35.234899328859065,0.05288856262333823,0.08848819738983404,0.01010751024713289,0.013117454027674884,0.04963828166735085
C1,no,Insulin,35.57046979865772,0.05288856268381412,0.08848819748281261,0.01010751025862842,0.013117454042555852,0.04963828172595567
C1,no,Insulin,35.90604026845638,0.05288856273457358,0.08848819756165706,0.010107510268508315,0.013117454055286656,0.0496382817757831
C1,no,Insulin,36.241610738255034,0.052888562775616606,0.08848819762636735,0.010107510276772577,0.013117454065867297,0.04963828181683315
C1,no,Insulin,36.577181208053695,0.05288856280694319,0.0884881976769435,0.010107510283421205,0.013117454074297772,0.04963828184910581
C1,no,Insulin,36.91275167785235,0.05288856282855334,0.08848819771338554,0.0101075102884542,0.013117454080578083,0.04963828187260109
C1,no,Insulin,37.24832214765101,0.05288856284044705,0.08848819773569341,0.01010751029187156,0.01311745408470823,0.04963828188731898
C1,no,Insulin,37.58389261744966,0.052888562842624325,0.08848819774386717,0.010107510293673287,0.013117454086688213,0.049638281893259494
C1,no,Insulin,37.919463087248324,0.05288856283508516,0.08848819773790677,0.010107510293859381,0.013117454086518031,0.04963828189042262
C1,no,Insulin,38.25503355704698,0.05288856281782957,0.08848819771781224,0.01010751029242984,0.013117454084197684,0.04963828187880836
C1,no,Insulin,38.59060402684564,0.05288856279085753,0.08848819768358357,0.010107510289384667,0.013117454079727175,0.04963828185841671
C1,no,Insulin,38.9261744966443,0.05288856275416906,0.08848819763522077,0.01010751028472386,0.0131174540731065,0.049638281829247684
