NON $ % + - . 0 1 2 3 4 5 6 7 8
#NON	m	i	l	g	f	d	k	h	a	n	e	j	c	b
21.212121212121215	0.08092687434778281	0.16550389495346962	0.025816292562498303	0.12429016557131134	0.01036482063252166	0.1289904189339178	0.19937406916230593	0.019670464477153354	0.1387680083938225	0.2360068813758968	0.010349227654337085	0.1983188985477357	0.021078919798624467	0.14888258828686424
21.71717171717172	0.08092687434810972	0.16550389496318857	0.025816292562251188	0.12429016557366399	0.010364820632391893	0.12899041889811222	0.19937406916219336	0.019670464477072186	0.13876800840138426	0.2360068813786219	0.010349227654212369	0.19831889854766174	0.021078919798575083	0.14888258827449463
22.222222222222225	0.0809268743500673	0.1655038949608456	0.02581629256251976	0.12429016557250423	0.010364820632533732	0.12899041890550408	0.1993740691623344	0.019670464477165635	0.1387680084011268	0.23600688137725728	0.010349227654349048	0.198318898547758	0.02107891979863277	0.14888258828440365
22.72727272727273	0.08092687435365556	0.16550389494644077	0.025816292563304026	0.12429016556783208	0.01036482063294718	0.12899041895609334	0.19937406916272912	0.01967046447743371	0.13876800839305006	0.2360068813718029	0.010349227654747122	0.19831889854802442	0.021078919798797526	0.14888258831659126
23.232323232323235	0.08092687435887451	0.165503894919974	0.025816292564603983	0.12429016555964752	0.010364820633632234	0.12899041904988004	0.19937406916337744	0.0196704644778764	0.13876800837715408	0.23600688136225875	0.010349227655406593	0.19831889854846108	0.021078919799069347	0.14888258837105753
23.73737373737374	0.08092687436806502	0.16550389489143275	0.025816292566427358	0.12429016554967244	0.010364820634594842	0.12899041914956572	0.19937406916430933	0.019670464478503166	0.1387680083629098	0.23600688135059233	0.010349227656333452	0.19831889854909196	0.021078919799455295	0.1488825884433932
24.242424242424242	0.08092687436875289	0.16550389488094588	0.0258162925667649	0.1242901655469032	0.0103648206347718	0.12899041918710658	0.1993740691644675	0.01967046447861558	0.13876800835544834	0.23600688134737768	0.010349227656503755	0.19831889854919715	0.0210789197995238	0.14888258845932809
24.747474747474747	0.08092687436944074	0.165503894870459	0.025816292567102442	0.12429016554413397	0.010364820634948759	0.12899041922464743	0.1993740691646257	0.019670464478727997	0.13876800834798686	0.23600688134416303	0.010349227656674058	0.19831889854930237	0.021078919799592304	0.14888258847526298
25.252525252525253	0.0809268743701286	0.1655038948599721	0.025816292567439985	0.12429016554136472	0.010364820635125716	0.12899041926218827	0.19937406916478387	0.01967046447884041	0.13876800834052538	0.23600688134094838	0.010349227656844361	0.19831889854940757	0.021078919799660804	0.14888258849119787
25.757575757575758	0.08092687437081646	0.16550389484948522	0.025816292567777527	0.1242901655385955	0.010364820635302674	0.12899041929972913	0.19937406916494205	0.019670464478952827	0.1387680083330639	0.2360068813377337	0.010349227657014664	0.19831889854951276	0.02107891979972931	0.14888258850713276
26.262626262626263	0.08092687437150431	0.16550389483899836	0.025816292568115067	0.12429016553582625	0.010364820635479633	0.12899041933726998	0.19937406916510023	0.019670464479065244	0.13876800832560243	0.23600688133451905	0.010349227657184967	0.19831889854961796	0.021078919799797813	0.14888258852306765
26.767676767676768	0.08092687437162166	0.16550389483719927	0.02581629256817128	0.12429016553535639	0.010364820635509092	0.12899041934373115	0.19937406916512646	0.019670464479083938	0.13876800832430722	0.23600688133397374	0.010349227657213318	0.1983188985496354	0.021078919799809196	0.1488825885257425
27.272727272727273	0.08092687437164199	0.16550389483687727	0.025816292568179657	0.12429016553527744	0.010364820635513472	0.12899041934490815	0.19937406916513026	0.019670464479086696	0.13876800832406033	0.23600688133388228	0.010349227657217533	0.1983188985496379	0.021078919799810872	0.1488825885261629
27.77777777777778	0.08092687437166232	0.16550389483655528	0.025816292568188036	0.12429016553519849	0.010364820635517852	0.12899041934608516	0.19937406916513406	0.019670464479089454	0.13876800832381347	0.2360068813337908	0.010349227657221747	0.19831889854964044	0.021078919799812544	0.14888258852658331
28.282828282828284	0.08092687437168265	0.16550389483623326	0.025816292568196415	0.12429016553511955	0.010364820635522232	0.12899041934726216	0.19937406916513786	0.019670464479092216	0.13876800832356662	0.23600688133369932	0.010349227657225962	0.19831889854964296	0.021078919799814216	0.14888258852700373
28.78787878787879	0.080926874371703	0.16550389483591127	0.025816292568204793	0.1242901655350406	0.010364820635526614	0.1289904193484392	0.19937406916514167	0.019670464479094974	0.13876800832331976	0.23600688133360787	0.010349227657230177	0.19831889854964546	0.021078919799815892	0.14888258852742414
29.292929292929294	0.08092687437172333	0.16550389483558928	0.025816292568213172	0.12429016553496165	0.010364820635530994	0.1289904193496162	0.19937406916514547	0.019670464479097736	0.1387680083230729	0.23600688133351638	0.010349227657234391	0.198318898549648	0.021078919799817564	0.14888258852784456
29.7979797979798	0.08092687437174366	0.16550389483526728	0.02581629256822155	0.12429016553488272	0.010364820635535375	0.1289904193507932	0.19937406916514927	0.019670464479100494	0.13876800832282604	0.2360068813334249	0.010349227657238606	0.1983188985496505	0.02107891979981924	0.14888258852826497
30.303030303030305	0.08092687437176399	0.1655038948349453	0.02581629256822993	0.12429016553480376	0.010364820635539757	0.1289904193519702	0.19937406916515307	0.019670464479103252	0.13876800832257916	0.23600688133333345	0.010349227657242822	0.19831889854965304	0.021078919799820912	0.14888258852868538
30.80808080808081	0.08092687437178434	0.1655038948346233	0.025816292568238308	0.12429016553472481	0.010364820635544137	0.1289904193531472	0.19937406916515688	0.019670464479106014	0.1387680083223323	0.23600688133324196	0.010349227657247035	0.19831889854965556	0.021078919799822585	0.1488825885291058
31.313131313131315	0.08092687437180467	0.1655038948343013	0.025816292568246687	0.12429016553464588	0.010364820635548517	0.12899041935432423	0.19937406916516068	0.019670464479108772	0.13876800832208544	0.23600688133315048	0.01034922765725125	0.1983188985496581	0.02107891979982426	0.1488825885295262
31.81818181818182	0.080926874371825	0.16550389483397931	0.025816292568255066	0.12429016553456693	0.010364820635552899	0.12899041935550123	0.19937406916516448	0.01967046447911153	0.13876800832183858	0.23600688133305903	0.010349227657255466	0.1983188985496606	0.021078919799825933	0.14888258852994662
32.323232323232325	0.08092687437184533	0.16550389483365732	0.025816292568263444	0.12429016553448799	0.010364820635557279	0.12899041935667824	0.19937406916516828	0.019670464479114292	0.13876800832159172	0.23600688133296754	0.01034922765725968	0.19831889854966311	0.02107891979982761	0.14888258853036704
