NON $ % + - .
#NON	d	a	e	b	c
35.85858585858586	0.012391186212934141	0.011839173738206988	0.1809168371450273	0.2631025837920492	0.01611335031873714
36.36363636363637	0.012391186212847885	0.01183917373814176	0.18091683714220214	0.2631025837930903	0.016113350318289907
36.86868686868687	0.012391186212761628	0.011839173738076528	0.18091683713937698	0.26310258379413143	0.016113350317842674
37.37373737373738	0.01239118621267537	0.011839173738011298	0.18091683713655182	0.2631025837951726	0.01611335031739544
37.87878787878788	0.012391186212589115	0.011839173737946069	0.18091683713372667	0.2631025837962137	0.016113350316948206
38.38383838383839	0.012391186212519962	0.011839173737893843	0.18091683713145332	0.26310258379705426	0.0161133503165879
38.88888888888889	0.012391186212516841	0.011839173737891813	0.18091683713130993	0.2631025837971204	0.016113350316563153
39.3939393939394	0.01239118621251372	0.011839173737889784	0.18091683713116657	0.26310258379718665	0.0161133503165384
39.8989898989899	0.012391186212510601	0.011839173737887754	0.1809168371310232	0.2631025837972528	0.01611335031651365
40.40404040404041	0.01239118621250748	0.011839173737885724	0.18091683713087983	0.26310258379731905	0.0161133503164889
40.909090909090914	0.01239118621250436	0.011839173737883695	0.18091683713073645	0.26310258379738527	0.016113350316464152
41.41414141414142	0.012391186212501239	0.011839173737881665	0.1809168371305931	0.26310258379745144	0.0161133503164394
41.919191919191924	0.012391186212498118	0.011839173737879636	0.18091683713044973	0.26310258379751766	0.01611335031641465
42.42424242424243	0.012391186212494998	0.011839173737877606	0.18091683713030635	0.2631025837975839	0.0161133503163899
42.929292929292934	0.012391186212491877	0.011839173737875576	0.180916837130163	0.26310258379765006	0.01611335031636515
43.43434343434344	0.012391186212488756	0.011839173737873547	0.1809168371300196	0.2631025837977163	0.0161133503163404
43.939393939393945	0.012391186212485635	0.011839173737871517	0.18091683712987625	0.2631025837977825	0.01611335031631565
44.44444444444445	0.012391186212482514	0.011839173737869487	0.18091683712973286	0.2631025837978487	0.0161133503162909
44.949494949494955	0.012391186212479394	0.011839173737867458	0.1809168371295895	0.2631025837979149	0.01611335031626615
45.45454545454546	0.012391186212476273	0.011839173737865428	0.18091683712944615	0.26310258379798107	0.0161133503162414
45.959595959595966	0.012391186212473152	0.011839173737863399	0.18091683712930276	0.2631025837980473	0.01611335031621665
