,,,Slide ID,c,d,b,a,e,f
,,,Antibody Name,c,d,b,a,e,f
,,,HUGO ID,c,d,b,a,e,f
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,30.252100840336134,0.07390068797302021,0.11355496844537556,0.016537493739144517,0.015707992131802524,0.07440106862932756,0.039393136678469144
C1,no,Insulin,30.672268907563026,0.0739006874455625,0.11355496749562706,0.01653749352179459,0.015707991935395158,0.07440106814510243,0.03939313633312216
C1,no,Insulin,31.092436974789916,0.07390068704966808,0.11355496678302376,0.016537493358803987,0.015707991788058383,0.07440106778093972,0.0393931360738505
C1,no,Insulin,31.51260504201681,0.07390068673738023,0.11355496622308094,0.01653749323231762,0.01570799167336065,0.07440106748754446,0.039393135866692526
C1,no,Insulin,31.932773109243698,0.0739006865103889,0.11355496581584071,0.016537493140099606,0.015707991589772076,0.07440106727501886,0.03939313571649997
C1,no,Insulin,32.35294117647059,0.07390068634788238,0.11355496552303453,0.01653749307283486,0.0157079915290088,0.07440106712654412,0.039393135610532946
C1,no,Insulin,32.773109243697476,0.07390068622904894,0.11355496530639388,0.016537493021208306,0.015707991482786964,0.07440106702530147,0.03939313553605155
C1,no,Insulin,33.19327731092437,0.07390068616672592,0.11355496519364641,0.016537492994902737,0.015707991459097726,0.07440106696979383,0.039393135496103945
C1,no,Insulin,33.61344537815126,0.07390068613438311,0.11355496513530795,0.0165374929813745,0.01570799144689138,0.07440106694059857,0.03939313547526715
C1,no,Insulin,34.03361344537815,0.07390068611135314,0.11355496509339304,0.016537492971390004,0.01570799143795388,0.07440106692096267,0.039393135460868985
C1,no,Insulin,34.45378151260504,0.0739006860811998,0.11355496503821491,0.01653749295810454,0.015707991426117663,0.07440106689605967,0.03939313544222254
C1,no,Insulin,34.87394957983194,0.07390068604739791,0.1135549649762472,0.016537492943143526,0.015707991412810905,0.07440106686843123,0.039393135421375125
C1,no,Insulin,35.294117647058826,0.07390068605162299,0.11355496498334013,0.016537492944382927,0.015707991414034717,0.07440106687394094,0.039393135424805624
C1,no,Insulin,35.714285714285715,0.07390068605199568,0.11355496498359947,0.016537492944154537,0.015707991413915393,0.07440106687556866,0.03939313542555476
C1,no,Insulin,36.134453781512605,0.07390068604106209,0.11355496496365124,0.016537492939434708,0.015707991409711984,0.07440106686632307,0.039393135418680315
C1,no,Insulin,36.554621848739494,0.07390068601136832,0.11355496491012144,0.016537492927199797,0.015707991398683535,0.0744010668392129,0.039393135399240074
C1,no,Insulin,36.97478991596639,0.07390068597839439,0.11355496485068406,0.016537492913571542,0.01570799138638502,0.07440106680910456,0.039393135377709165
C1,no,Insulin,37.39495798319328,0.07390068597632235,0.11355496484682132,0.016537492912653513,0.015707991385593,0.07440106680753536,0.039393135376433
C1,no,Insulin,37.81512605042017,0.07390068596595405,0.11355496482809317,0.016537492908373537,0.015707991381744026,0.0744010667981175,0.039393135369651604
C1,no,Insulin,38.23529411764706,0.07390068594728946,0.11355496479449963,0.01653749290073161,0.015707991374838092,0.074401066780851,0.03939313535736499
C1,no,Insulin,38.65546218487395,0.07390068592975377,0.11355496476293979,0.016537492893553076,0.015707991368350348,0.07440106676462273,0.03939313534582004
C1,no,Insulin,39.075630252100844,0.07390068595466134,0.11355496480748935,0.016537492903605948,0.015707991377513778,0.07440106678838757,0.03939313536239948
C1,no,Insulin,39.49579831932773,0.07390068597687602,0.11355496484722022,0.016537492912571075,0.01570799138568626,0.0744010668095871,0.03939313537718754
C1,no,Insulin,39.91596638655462,0.07390068599639778,0.11355496488213238,0.01653749292044846,0.015707991392867802,0.07440106682822133,0.03939313539018423
C1,no,Insulin,40.33613445378151,0.07390068601322662,0.11355496491222584,0.0165374929272381,0.015707991399058395,0.07440106684429025,0.03939313540138954
C1,no,Insulin,40.7563025210084,0.07390068602736256,0.11355496493750061,0.016537492932939997,0.01570799140425804,0.07440106685779387,0.03939313541080347
C1,no,Insulin,41.1764705882353,0.07390068603880558,0.11355496495795668,0.01653749293755415,0.015707991408466744,0.07440106686873219,0.039393135418426026
C1,no,Insulin,41.596638655462186,0.07390068604755569,0.11355496497359405,0.016537492941080558,0.0157079914116845,0.0744010668771052,0.03939313542425721
C1,no,Insulin,42.016806722689076,0.07390068605361289,0.11355496498441271,0.016537492943519222,0.015707991413911312,0.0744010668829129,0.03939313542829701
C1,no,Insulin,42.436974789915965,0.07390068605697717,0.11355496499041269,0.016537492944870145,0.015707991415147178,0.0744010668861553,0.03939313543054544
