NON $ % + - .
#NON	b	d	c	a	e
37.37373737373738	0.26959127106803776	0.15272648087798846	0.005807836106726829	0.18874548664626573	0.09186694517501949
37.87878787878788	0.269591271093675	0.15272648087775959	0.005807835966089106	0.18874548664592006	0.09186694511066698
38.38383838383839	0.2695912711146449	0.15272648087760035	0.005807835855684828	0.18874548664567414	0.09186694506145499
38.88888888888889	0.2695912711309476	0.15272648087751076	0.005807835775513992	0.188745486645528	0.09186694502738349
39.3939393939394	0.26959127114258297	0.1527264808774908	0.005807835725576601	0.18874548664548163	0.09186694500845251
39.8989898989899	0.26959127114955106	0.15272648087754048	0.005807835705872654	0.188745486645535	0.09186694500466201
40.40404040404041	0.2695912711518519	0.15272648087765978	0.005807835716402149	0.18874548664568816	0.09186694501601203
40.909090909090914	0.26959127114948545	0.15272648087784874	0.005807835757165089	0.18874548664594104	0.09186694504250256
41.41414141414142	0.2695912711424517	0.15272648087810733	0.0058078358281614725	0.1887454866462937	0.09186694508413358
41.919191919191924	0.26959127114212744	0.15272648087822394	0.005807835848117604	0.18874548664644705	0.09186694509870975
42.42424242424243	0.2695912711478905	0.15272648087821014	0.005807835821478917	0.18874548664641744	0.091866945088539
42.929292929292934	0.26959127115210657	0.15272648087820795	0.00580783580278321	0.18874548664640556	0.09186694508193607
43.43434343434344	0.26959127115477555	0.15272648087821736	0.005807835792030482	0.18874548664641141	0.09186694507890096
43.939393939393945	0.26959127115589754	0.15272648087823837	0.005807835789220734	0.18874548664643498	0.09186694507943369
44.44444444444445	0.2695912711554725	0.15272648087827098	0.0058078357943539645	0.1887454866464763	0.09186694508353423
44.949494949494955	0.26959127115350046	0.15272648087831517	0.005807835807430176	0.18874548664653534	0.09186694509120259
45.45454545454546	0.2695912711499814	0.15272648087837096	0.005807835828449366	0.18874548664661214	0.09186694510243879
45.959595959595966	0.26959127114491527	0.15272648087843838	0.005807835857411537	0.18874548664670665	0.0918669451172428
46.46464646464647	0.2695912711383021	0.15272648087851737	0.005807835894316686	0.18874548664681892	0.09186694513561464
46.969696969696976	0.2695912711301419	0.15272648087860796	0.005807835939164815	0.1887454866469489	0.0918669451575543
47.47474747474748	0.26959127112043474	0.15272648087871013	0.0058078359919559236	0.18874548664709662	0.09186694518306178
47.979797979797986	0.26959127111751263	0.1527264808788986	0.005807836014716205	0.1887454866473468	0.09186694520513099
48.484848484848484	0.2695912711147771	0.1527264808789089	0.005807836030323279	0.18874548664736251	0.09186694521103123
48.98989898989899	0.26959127111204156	0.15272648087891919	0.005807836045930352	0.18874548664737822	0.09186694521693146
49.494949494949495	0.26959127110930603	0.15272648087892945	0.005807836061537426	0.18874548664739393	0.0918669452228317
50.0	0.2695912711065705	0.15272648087893975	0.0058078360771444985	0.18874548664740964	0.09186694522873194
