,,,Slide ID,c,e,f,g,d,a,b
,,,Antibody Name,c,e,f,g,d,a,b
,,,HUGO ID,c,e,f,g,d,a,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,25.757575757575758,0.21020052215168428,0.250385251303983,0.4209539185579812,0.3355608919520595,0.19489653880353283,0.7280807741934733,0.21701357338274294
C1,no,Insulin,26.262626262626263,0.21020052214999463,0.25038525130444766,0.4209539185579872,0.3355608919516622,0.19489653880323599,0.728080774193479,0.21701357338274566
C1,no,Insulin,26.767676767676768,0.21020052214830495,0.2503852513049123,0.4209539185579932,0.335560891951265,0.19489653880293914,0.7280807741934847,0.21701357338274838
C1,no,Insulin,27.272727272727273,0.21020052214661528,0.2503852513053769,0.42095391855799913,0.3355608919508677,0.1948965388026423,0.7280807741934905,0.2170135733827511
C1,no,Insulin,27.77777777777778,0.21020052214492563,0.2503852513058416,0.4209539185580051,0.33556089195047045,0.19489653880234545,0.7280807741934963,0.21701357338275384
C1,no,Insulin,28.282828282828284,0.21020052214323595,0.25038525130630623,0.42095391855801106,0.3355608919500732,0.1948965388020486,0.7280807741935019,0.21701357338275656
C1,no,Insulin,28.78787878787879,0.21020052214154628,0.25038525130677086,0.42095391855801706,0.3355608919496759,0.19489653880175178,0.7280807741935077,0.21701357338275928
C1,no,Insulin,29.292929292929294,0.21020052213985663,0.25038525130723555,0.42095391855802305,0.3355608919492787,0.19489653880145494,0.7280807741935134,0.217013573382762
C1,no,Insulin,29.7979797979798,0.21020052213816695,0.2503852513077002,0.420953918558029,0.3355608919488814,0.1948965388011581,0.7280807741935191,0.21701357338276475
C1,no,Insulin,30.303030303030305,0.2102005221364773,0.2503852513081648,0.420953918558035,0.33556089194848415,0.19489653880086125,0.7280807741935248,0.21701357338276747
C1,no,Insulin,30.80808080808081,0.21020052213478763,0.2503852513086295,0.420953918558041,0.33556089194808686,0.1948965388005644,0.7280807741935306,0.2170135733827702
