NON $ % + - . 0 1
#NON	g	e	c	f	d	a	b
19.191919191919194	0.13858789758410228	0.07858525843492621	0.02253337872142793	0.03705294330351417	0.16086122495688188	0.0669022936490599	0.10023869714728281
19.6969696969697	0.1385876069222543	0.0785851626700731	0.022533330200736404	0.03705282191152239	0.1608610191587377	0.06690213870210446	0.10023848313964356
20.202020202020204	0.13858739555280855	0.07858508342864445	0.02253329627821419	0.03705273375336735	0.16086087133997667	0.06690202492816043	0.10023832589965771
20.70707070707071	0.1385872427121716	0.07858502652434994	0.022533270780977766	0.037052669151912854	0.16086076547205527	0.06690194188780668	0.10023821218882245
21.212121212121215	0.1385871331426369	0.07858499072236927	0.022533252067668097	0.03705262283236285	0.16086068906101303	0.06690188266179364	0.10023813113780718
21.71717171717172	0.1385870520220128	0.07858496986433508	0.02253323847629738	0.0370525894121346	0.1608606302460952	0.0669018403325274	0.10023807211195017
22.222222222222225	0.1385869940407249	0.07858495675438006	0.0225332276636972	0.03705256504090996	0.1608605876222588	0.0669018103624146	0.10023803080044864
22.72727272727273	0.1385869518132257	0.07858494513079872	0.022533220187762295	0.037052547317265316	0.16086055725194376	0.06690178812606891	0.10023800016693593
23.232323232323235	0.1385869212128012	0.07858493588455344	0.022533214892864212	0.03705253447181174	0.16086053547216853	0.06690177187182081	0.10023797778986054
23.73737373737374	0.1385868990242814	0.07858492895193742	0.022533211101416727	0.037052525163436933	0.1608605197488643	0.06690176004411051	0.10023796150418987
24.242424242424242	0.13858688289803098	0.07858492383751481	0.022533208360795302	0.037052518402749396	0.16086050833186366	0.0669017514422183	0.10023794965500803
24.747474747474747	0.1385868711332389	0.07858492004174021	0.022533206372495982	0.03705251347258189	0.16086050001529878	0.0669017451593341	0.10023794099840506
25.252525252525253	0.1385868627746957	0.07858491728463493	0.022533204969285358	0.03705250997065204	0.16086049412075196	0.0669017406869758	0.10023793483615087
25.757575757575758	0.13858685678363672	0.07858491526926731	0.022533203967746773	0.03705250745926173	0.16086048990828375	0.066901737473489	0.10023793041084968
26.262626262626263	0.1385868524028114	0.07858491380282952	0.022533203229569768	0.037052505619358016	0.16086048682918158	0.06690173512245569	0.10023792717746102
26.767676767676768	0.13858684923483425	0.0785849127721523	0.02253320268318742	0.0370525042842566	0.1608604845938847	0.06690173342695611	0.10023792485026725
27.272727272727273	0.13858684695299223	0.07858491207638381	0.022533202270481372	0.037052503317445314	0.16086048296326044	0.06690173221761089	0.10023792319454017
27.77777777777778	0.13858684530176565	0.07858491161499961	0.022533201951174062	0.037052502616226515	0.16086048174485706	0.06690173136589578	0.10023792202671529
28.282828282828284	0.13858684411453684	0.0785849113165186	0.022533201700737443	0.037052502114390554	0.16086048081400867	0.06690173078760574	0.1002379212257604
28.78787878787879	0.13858684321665868	0.07858491105243777	0.02253320150920735	0.03705250174929657	0.1608604800479979	0.06690173039057268	0.10023792065247257
29.292929292929294	0.13858684240316516	0.07858491083957747	0.02253320134560998	0.037052501409854964	0.1608604794108347	0.0669017299945757	0.10023792009904929
29.7979797979798	0.1385868416699371	0.0785849106792496	0.022533201209210842	0.037052501093614826	0.16086047890242336	0.06690172959557426	0.10023791956105617
30.303030303030305	0.13858684110202876	0.0785849105443656	0.02253320111517583	0.03705250085118212	0.1608604785247395	0.06690172927699747	0.10023791913005474
30.80808080808081	0.13858684069944016	0.07858491043492549	0.022533201063504947	0.03705250068255685	0.16086047827778313	0.06690172903884535	0.10023791880604503
