NON $ % + -
#NON	c	a	d	b
24.161073825503358	0.01084842150161027	0.013236162868365996	0.06571647202448541	0.06335593602930617
24.496644295302016	0.010848413615089647	0.0132361541071989	0.06571643920316646	0.06335591014310372
24.832214765100673	0.010848407155970866	0.013236146931562979	0.06571641232775446	0.06335588895498939
25.16778523489933	0.010848402001050092	0.013236141204403156	0.06571639089051357	0.06335587207210432
25.503355704697988	0.010848397696300551	0.013236136420648498	0.0657163730203519	0.06335585804669766
25.838926174496645	0.010848394199345945	0.01323613253315782	0.06571635854265181	0.06335584674368969
26.174496644295303	0.010848391323773538	0.013236129333543376	0.06571634671699317	0.06335583763296014
26.51006711409396	0.010848388902026608	0.013236126634496252	0.06571633687785074	0.0633558302380115
26.845637583892618	0.01084838692373484	0.01323612442624368	0.06571632893403674	0.06335582441366594
27.181208053691275	0.0108483853028674	0.013236122627699886	0.0657163221294056	0.06335581895632651
27.516778523489933	0.010848383997866728	0.013236121193256362	0.06571631627667052	0.06335581369667531
27.85234899328859	0.010848382766050671	0.013236119830703549	0.06571631098710147	0.0633558092755953
28.18791946308725	0.010848381634553591	0.01323611857265332	0.0657163063059193	0.06335580562552187
28.52348993288591	0.010848380698208284	0.013236117533081992	0.06571630239116796	0.06335580251032144
28.859060402684566	0.01084837995701475	0.013236116711989564	0.06571629924284743	0.063355799929994
29.194630872483224	0.010848379410972987	0.013236116109376035	0.0657162968609577	0.06335579788453953
29.53020134228188	0.010848379060082996	0.013236115725241407	0.0657162952454988	0.06335579637395805
29.86577181208054	0.0108483786502083	0.013236115272734982	0.06571629346222002	0.06335579484931894
30.201342281879196	0.01084837826075111	0.01323611484148018	0.065716291803018	0.06335579348212966
30.536912751677853	0.01084837796451436	0.01323611451365163	0.06571629053552915	0.06335579242964337
30.87248322147651	0.010848377761498046	0.013236114289249335	0.0657162896597535	0.06335579169186005
31.20805369127517	0.010848377651702169	0.013236114168273293	0.06571628917569103	0.0633557912687797
31.543624161073826	0.01084837763512673	0.013236114150723505	0.06571628908334175	0.06335579116040234
31.879194630872483	0.010848377102864489	0.013236113562194124	0.06571628679251862	0.06335578923822731
32.214765100671144	0.010848377177302783	0.01323611364460418	0.06571628711018832	0.06335578950081192
32.5503355704698	0.010848377251741077	0.013236113727014238	0.06571628742785801	0.06335578976339652
32.88590604026846	0.01084837732617937	0.013236113809424296	0.06571628774552772	0.06335579002598114
33.22147651006711	0.010848377400617663	0.013236113891834352	0.06571628806319742	0.06335579028856575
