,,,Slide ID,b,d,c,a
,,,Antibody Name,b,d,c,a
,,,HUGO ID,b,d,c,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,43.939393939393945,0.1967018338396848,0.30380157194688767,0.13759865243605673,0.23068291697581833
C1,no,Insulin,44.44444444444445,0.19670183383963158,0.3038015719468783,0.13759865243605535,0.2306829169757437
C1,no,Insulin,44.949494949494955,0.19670183383957837,0.30380157194686885,0.13759865243605396,0.2306829169756691
C1,no,Insulin,45.45454545454546,0.19670183383952516,0.3038015719468594,0.13759865243605257,0.23068291697559445
C1,no,Insulin,45.959595959595966,0.19670183383947196,0.30380157194685004,0.13759865243605118,0.23068291697551982
C1,no,Insulin,46.46464646464647,0.19670183383941875,0.3038015719468406,0.13759865243604977,0.23068291697544518
C1,no,Insulin,46.969696969696976,0.19670183383936554,0.3038015719468312,0.13759865243604838,0.23068291697537055
C1,no,Insulin,47.47474747474748,0.19670183383931233,0.3038015719468218,0.137598652436047,0.23068291697529592
C1,no,Insulin,47.979797979797986,0.19670183383925913,0.3038015719468124,0.1375986524360456,0.2306829169752213
C1,no,Insulin,48.484848484848484,0.19670183383920592,0.30380157194680296,0.13759865243604422,0.23068291697514667
C1,no,Insulin,48.98989898989899,0.1967018338391527,0.3038015719467936,0.13759865243604283,0.23068291697507204
C1,no,Insulin,49.494949494949495,0.1967018338390995,0.30380157194678414,0.13759865243604144,0.2306829169749974
C1,no,Insulin,50.0,0.1967018338390463,0.30380157194677476,0.13759865243604005,0.23068291697492277
