NON $ % + - . 0 1 2 3 4 5 6
#NON	g	l	e	c	i	b	k	j	f	d	h	a
31.932773109243698	0.09994849251097518	0.00366779670790143	0.0016078688231449731	0.1038670402522707	0.026706787914132356	0.004704700304348144	0.009842255554299621	0.09975434456627248	0.020511093523477353	0.11864811766207495	0.020007915285572078	0.001686838514935159
32.35294117647059	0.0999484917276117	0.0036677965910343596	0.0016078687683952625	0.10386703892777709	0.026706787585071886	0.004704700193345727	0.009842255343065395	0.099754343387973	0.020511093242041745	0.11864811682717705	0.020007914755767516	0.001686838473755953
32.773109243697476	0.09994849106672665	0.003667796493476764	0.0016078687226650735	0.10386703782279898	0.02670678729829295	0.004704700101049752	0.009842255165028213	0.09975434240480072	0.020511092995036284	0.11864811611948949	0.02000791431123198	0.0016868384399513746
33.19327731092437	0.09994849051535795	0.0036677964126029367	0.0016078686847411567	0.10386703690712779	0.026706787054252785	0.004704700024726814	0.009842255016547447	0.09975434158992315	0.020511092783980306	0.11864811552758002	0.02000791394153528	0.0016868384122245795
33.61344537815126	0.09994849006814356	0.0036677963473266966	0.001607868654121624	0.10386703616826702	0.026706786853140554	0.004704699963246179	0.009842254896117071	0.09975434093224042	0.020511092609502325	0.11864811504671942	0.020007913642362745	0.0016868383900390984
34.03361344537815	0.09994848972508345	0.0036677962976480426	0.0016078686308064753	0.1038670356062167	0.026706786694956255	0.004704699916607845	0.009842254803737086	0.09975434043175252	0.020511092471602342	0.11864811467690771	0.02000791341371437	0.0016868383733949317
34.45378151260504	0.09994848895670978	0.0036677961853723014	0.0016078685781442253	0.10386703433527208	0.026706786350501818	0.004704699810817628	0.009842254596803329	0.099754339300454	0.02051109217295693	0.11864811385116679	0.020007912899406132	0.0016868383351673194
34.87394957983194	0.09994848891708166	0.0036677961799848426	0.0016078685756050896	0.10386703427457115	0.026706786328889818	0.004704699805891471	0.009842254586152985	0.09975433924628463	0.020511092153555056	0.11864811380745498	0.02000791287377642	0.0016868383335710757
35.294117647058826	0.09994848887745356	0.0036677961745973844	0.001607868573065954	0.10386703421387021	0.02670678630727782	0.004704699800965315	0.009842254575502642	0.09975433919211525	0.02051109213415318	0.11864811376374317	0.0200079128481467	0.001686838331974832
35.714285714285715	0.09994848883782544	0.003667796169209926	0.0016078685705268182	0.10386703415316928	0.026706786285665824	0.004704699796039157	0.009842254564852299	0.09975433913794587	0.020511092114751304	0.11864811372003135	0.020007912822516988	0.0016868383303785882
36.134453781512605	0.09994848880288583	0.0036677961644506533	0.001607868568284036	0.10386703409953968	0.026706786266698347	0.004704699791683687	0.009842254555461411	0.0997543390900905	0.02051109209773596	0.11864811368151605	0.02000791279989913	0.001686838328962621
36.554621848739494	0.09994848879418511	0.0036677961632069754	0.001607868567699776	0.10386703408548426	0.026706786262530754	0.004704699790522025	0.009842254553118997	0.09975433907757104	0.020511092094076654	0.11864811367208265	0.020007912794136884	0.0016868383285555608
36.97478991596639	0.09994848878548439	0.0036677961619632975	0.0016078685671155162	0.10386703407142883	0.02670678625836316	0.004704699789360363	0.00984225455077658	0.09975433906505159	0.02051109209041735	0.11864811366264925	0.020007912788374643	0.0016868383281485005
37.39495798319328	0.09994848877678365	0.003667796160719619	0.001607868566531256	0.1038670340573734	0.026706786254195564	0.004704699788198702	0.009842254548434164	0.09975433905253214	0.020511092086758043	0.11864811365321586	0.020007912782612398	0.0016868383277414403
37.81512605042017	0.09994848876808293	0.003667796159475941	0.001607868565946996	0.10386703404331797	0.02670678625002797	0.00470469978703704	0.009842254546091748	0.09975433904001269	0.020511092083098738	0.11864811364378247	0.020007912776850156	0.00168683832733438
38.23529411764706	0.0999484887593822	0.0036677961582322633	0.001607868565362736	0.10386703402926255	0.026706786245860377	0.004704699785875378	0.009842254543749332	0.09975433902749324	0.020511092079439432	0.11864811363434907	0.02000791277108791	0.0016868383269273198
38.65546218487395	0.09994848875068148	0.0036677961569885854	0.0016078685647784759	0.10386703401520712	0.026706786241692784	0.0047046997847137164	0.009842254541406917	0.09975433901497378	0.020511092075780127	0.11864811362491567	0.02000791276532567	0.0016868383265202596
39.075630252100844	0.09994848874198076	0.0036677961557449075	0.0016078685641942158	0.1038670340011517	0.026706786237525187	0.0047046997835520545	0.009842254539064501	0.09975433900245434	0.02051109207212082	0.11864811361548228	0.020007912759563425	0.0016868383261131993
39.49579831932773	0.09994848873328002	0.0036677961545012296	0.001607868563609956	0.10386703398709626	0.026706786233357593	0.004704699782390393	0.009842254536722085	0.09975433898993488	0.020511092068461516	0.11864811360604888	0.020007912753801184	0.0016868383257061391
39.91596638655462	0.0999484887245793	0.0036677961532575513	0.0016078685630256959	0.10386703397304084	0.02670678622919	0.004704699781228731	0.009842254534379669	0.09975433897741544	0.02051109206480221	0.11864811359661548	0.02000791274803894	0.0016868383252990789
40.33613445378151	0.09994848871587857	0.0036677961520138734	0.0016078685624414358	0.10386703395898542	0.026706786225022403	0.004704699780067069	0.009842254532037253	0.09975433896489598	0.020511092061142905	0.11864811358718208	0.020007912742276698	0.0016868383248920189
40.7563025210084	0.09994848870717785	0.0036677961507701955	0.0016078685618571757	0.10386703394492999	0.02670678622085481	0.004704699778905407	0.009842254529694838	0.09975433895237652	0.0205110920574836	0.11864811357774868	0.020007912736514453	0.0016868383244849586
41.1764705882353	0.09994848869847713	0.0036677961495265175	0.0016078685612729157	0.10386703393087457	0.026706786216687217	0.004704699777743746	0.009842254527352422	0.09975433893985708	0.020511092053824294	0.11864811356831528	0.02000791273075221	0.0016868383240778984
41.596638655462186	0.09994848868977639	0.0036677961482828396	0.0016078685606886556	0.10386703391681913	0.02670678621251962	0.004704699776582084	0.009842254525010006	0.09975433892733762	0.02051109205016499	0.11864811355888188	0.020007912724989967	0.0016868383236708381
